"site_date_key","CALSAP","CTEBOL","EVOLYR","FUNGRA","PALSP","PENSET","SCIOCE","SYMPLA","CLIVIT","SCIOCEN","SOLCAN","ANCMIT","UNKCRU","EUCMEL","MICUND","PANSIM","PETARM","PHRVIB","UNKFSH","CYPVAR","LITIRR","MENBER","PENAZT","PROPAN","FUNSIM","FUNXEN","MUGCEP","ARMCIN","UNKPOL","ALPHET","BATSOP","MYRPUN","PARLETJ","UROCIN","GOBOCE","CYNNEB","NEVDEL","GOBBOS","PANOBE","AMPSPP","LAGRHO","PAGLON","UNKART","CRAVIR","POELAT","FSHEGG","BAGMAR","TRIMAC","UCASP","FUNJEN"
"05244dc3",3,11,1,2,215,34,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0d2059f3",4,10,0,0,46,3,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10ef41b4",1,2,0,0,0,44,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124ad590",9,4,0,0,4,3,0,0,1,0,0,0,0,18,8,2,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1f36d182",6,10,0,1,58,98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22dc2bdf",0,1,0,32,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"286cc7fc",2,3,0,0,14,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3096ab9a",1,0,0,0,78,51,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39a22c63",0,0,0,0,107,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3aee966b",3,6,0,0,0,31,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
