Station_id,month,year,avg_temperature (C DegC),std_deviation_water_temperature (C DegC),min_temperature (C DegC),max_temperature (C DegC)
CRMS0292-H01,8,2014,31.09748654,2.682321223,26.12,39.4
CRMS0978-H01,8,2021,31.08618763,1.46180993,26.37,34.74
CRMS0336-H01,8,2021,31.08148042,1.449437575,25.9,34.27
CRMS0292-H01,6,2006,31.06887494,2.451233289,25.17,38
CRMS0978-H01,6,2022,31.05962502,1.793951793,27.4,36.69
CRMS0319-H01,7,2016,31.05434141,1.282727592,27.24,34.62
CRMS0337-H01,6,2010,31.04434721,1.866098058,26.04,36.44
CRMS0292-H01,7,2012,31.03760749,2.558000965,25.14,38.39
CRMS0175-H01,7,2008,31.03471771,1.769227836,27.55,36.3
CRMS0318-H01,7,2022,31.02939356,2.042881248,26.93,38.42
CRMS0292-H01,7,2006,31.0285215,2.499350633,25.59,39.62
CRMS0175-H01,6,2010,31.02330549,2.099032295,25.44,35.9
CRMS0310-H01,8,2021,31.02324636,1.696921396,25.82,35.48
CRMS0978-H01,8,2015,31.00602146,1.619519526,27.92,35.13
CRMS0310-H01,8,2015,31.00045697,1.767254483,27.86,36.27
CRMS0336-H01,6,2006,30.99690478,1.45349699,27.11,34.99
CRMS0178-H01,7,2015,30.99407257,1.248703577,28.03,35.18
CRMS0318-H01,7,2017,30.99397849,2.173088897,26.23,37.4
CRMS0292-H01,7,2009,30.99368281,2.387368677,27.06,40.46
CRMS0335-H01,6,2022,30.98755555,1.739695044,27.35,35.37
CRMS0292-H01,6,2009,30.96861112,3.273922586,24.66,40.48
CRMS0319-H01,6,2010,30.96769444,1.846586155,26.56,34.48
CRMS0335-H01,6,2019,30.96706763,1.678859036,27.22,35.48
CRMS0175-H01,7,2017,30.96138449,1.853849886,26.92,36.73
CRMS0318-H01,6,2011,30.95689859,2.549280978,25.6,37.53
CRMS0178-H01,8,2007,30.95373656,1.233539639,27.93,34.63
CRMS0164-H01,7,2015,30.95325265,1.922893135,25.75,36.07
CRMS0292-H01,7,2014,30.94665323,2.53587862,25.75,38.49
CRMS0337-H01,6,2022,30.94244439,1.549475505,27.67,34.94
CRMS0337-H01,8,2006,30.93346774,1.649972554,27.41,38.11
CRMS0292-H01,7,2010,30.93223118,2.267657821,26.5,36.87
CRMS0978-H01,8,2010,30.92256723,2.22523528,25.56,37.05
CRMS0175-H01,8,2010,30.91923388,2.303797158,25.57,39.06
CRMS0335-H01,7,2017,30.91901886,1.537264807,27.33,36
CRMS0336-H01,7,2008,30.91361629,1.534350403,27.7,34.69
CRMS0292-H01,9,2019,30.91005415,2.445531822,26.58,38.68
CRMS0318-H01,8,2015,30.90639129,2.328139823,26.62,39.34
CRMS0310-H01,7,2008,30.9058688,1.66849324,27.69,35.65
CRMS0335-H01,7,2011,30.8919489,1.866438705,26.13,35.93
CRMS0175-H01,6,2006,30.89136736,1.965477032,26.42,36.66
CRMS0337-H01,7,2016,30.88162635,1.238539913,27.32,34.07
CRMS0336-H01,8,2010,30.88146501,2.180547518,25.22,35.91
CRMS0292-H01,6,2022,30.88020141,2.505533243,25.37,38.35
CRMS0310-H01,7,2012,30.87599458,1.992879735,25.56,36.37
CRMS0336-H01,8,2015,30.87543009,1.542265683,27.39,34.8
CRMS0178-H01,7,2022,30.87256722,1.000316687,28.21,33.38
CRMS0318-H01,7,2008,30.86893815,2.198606249,26.52,38.58
CRMS0292-H01,7,2011,30.85887098,2.334128788,26.25,39.27
CRMS0319-H01,9,2023,30.84748386,0.895818989,29.47,33.25
