common_name,2005,2016,2022,AphiaID,valid_name,doerr_name,species_code,2005_name,true_name,taxonomic_rank
,,,,159292,Fundulus,,,Fundulus sp.,Fundulus,Genus
diamond killifish,TRUE,TRUE,TRUE,308885,Fundulus xenicus,A. xenica,FUNXEN,,Fundulus xenicus,Species
Mosquitofish,FALSE,FALSE,TRUE,159325,Gambusia affinis,,,,Gambusia affinis,Species
,,,,151456,Gerreidae,,,Gerreidae,Gerreidae,Family
skilletfish,TRUE,FALSE,FALSE,158787,Gobiesox strumosus,,,Gobiesox strumosus,Gobiesox strumosus,Species
,,,,125537,Gobiidae,Gobiidae,GOBSPP,Gobiidae,Gobiidae,Family
highfin goby ,TRUE,TRUE,TRUE,159753,Gobionellus oceanicus,G. oceanicus,GOBOCE ,Gobionellus oceanicus,Gobionellus oceanicus,Species
naked goby,TRUE,TRUE,TRUE,159767,Gobiosoma bosc,G. bosc,GOBBOS,Gobiosoma bosc,Gobiosoma bosc,Species
code goby,TRUE,FALSE,FALSE,276514,Gobiosoma robustum,,,Gobiosoma robustum,Gobiosoma robustum,Species
,,,,826651,Gobiosoma,,,Gobiosoma sp.,Gobiosoma,Genus
gold brotula,TRUE,FALSE,FALSE,280948,Gunterichthys longipenis,,,Gunterichthys longipenis,Gunterichthys longipenis,Species
,,,,204605,Harengula,Harengula sp.,HARSP,,Harengula,Genus
freckled blenny,TRUE,FALSE,FALSE,276327,Hypsoblennius ionthas,,,Hypsoblennius ionthas,Hypsoblennius ionthas,Species
pinfish ,TRUE,TRUE,TRUE,159249,Lagodon rhomboides,L. rhomboides,LAGRHO,Lagodon rhomboides,Lagodon rhomboides,Species
sargassum shrimp,TRUE,FALSE,FALSE,240877,Latreutes parvulus,,,Latreutes parvulus,Latreutes parvulus,Species
brown grass shrimp,TRUE,TRUE,TRUE,107612,Leander tenuicornis,L. tenuicornis,LEATEN,Leander tenuicornis,Leander tenuicornis,Species
spot,TRUE,TRUE,TRUE,159322,Leiostomus xanthurus,L. xanthurus,LEIXAN,Leiostomus xanthurus,Leiostomus xanthurus,Species
brown shrimp,TRUE,TRUE,TRUE,158336,Litopenaeus setiferus,L. setiferus,PENSET,Litopenaeus setiferus,Penaeus (Litopenaeus) setiferus,Species
marsh perriwinkle,FALSE,FALSE,TRUE,419566,Littoraria irrorata,,,,Littoraria irrorata,Species
rainwater killifish,TRUE,FALSE,FALSE,159310,Lucania parva,,,Lucania parva,Lucania parva,Species
,,,,158346,Lucifer faxoni,,,Lucifer faxoni,Belzebub faxoni,Species
gray snapper,TRUE,TRUE,TRUE,159797,Lutjanus griseus,L. griseus,LUTGRI,Lutjanus griseus,Lutjanus griseus,Species
,,,,,Macrobrachium ohione,,,Macrobrachium ohione,API request failed,Unknown
inland silverside,TRUE,TRUE,TRUE,159227,Menidia beryllina,M. beryllina,MENBER,Menidia beryllina,Menidia beryllina,Species
