Unnamed: 0,common_name_x,scientific_name,2005,2016,2022,AphiaID,valid_name,doerr_name,nelson_name,full_name ,common_name_y,species_code,functional_group,2005_name,true_name,taxonomic_rank
38,texas mud crab,Dyspanopeus texanus,TRUE,FALSE,FALSE,443955,Dyspanopeus texanus,,,,,,,Dyspanopeus texana,Dyspanopeus texanus,Species
39,large-scaled spinycheek sleeper,Eleotris amblyopsis ,FALSE,TRUE,FALSE,277793,Eleotris amblyopsis,E. amblyopsis,E. amblyopsis,Eleotris amblyopsis,large-scaled spinycheek sleeper,ELEAMB ,fish,,Eleotris amblyopsis,Species
41,,,,,,157875,Elops saurus,,,Elops saurus,,,,Elops saurus,Elops saurus,Species
42,,,,,,125465,Engraulidae,Engraulidae,Engraulidae,Engraulidae,engraulidae,ENGSPP,fish,Engraulidae,Engraulidae,Family
43,emerald sleeper,Erotelis smaragdus,TRUE,FALSE,FALSE,280710,Erotelis smaragdus,,,Erotelis smaragdus,,,,Erotelis smaragdus,Erotelis smaragdus,Species
44,spotfin mojarra ,Eucinostomus argenteus,TRUE,TRUE,TRUE,159732,Eucinostomus argenteus,E. argenteus,E. argenteus,Eucinostomus argenteus,spotfin mojarra ,EUCARG,fish,Eucinostomus argenteus,Eucinostomus argenteus,Species
45,flagfin mojarra ,Eucinostomus melanopterus,FALSE,TRUE,TRUE,276423,Eucinostomus melanopterus,E. melanopterus,E. melanopterus,Eucinostomus melanopterus,flagfin mojarra ,EUCMEL,fish,,Eucinostomus melanopterus,Species
46,,,,,,159731,Eucinostomus,Eucinostomus sp.,Eucinostomus sp.,Eucinostomus sp.,eucinostomus ,EUCSP,fish,,Eucinostomus,Genus
47,broadback mud crab,Eurytium limosum,FALSE,TRUE,FALSE,422077,Eurytium limosum,E. limosum,E. limosum,Eurytium limosum,broadback mud crab,EURLIM,crab,,Eurytium limosum,Species
48,lyre goby,Evorthodus lyricus,FALSE,TRUE,TRUE,159743,Evorthodus lyricus,E. lyricus,E. lyricus,Evorthodus lyricus,lyre goby,EVOLYR,fish,,Evorthodus lyricus,Species
50,,,,,,158332,Farfantepenaeus aztecus,F. aztecus,F. aztecus,Farfantepenaeus aztecus ,brown shrimp,PENAZT,shrimp,,Penaeus (Farfantepenaeus) aztecus,Species
51,,,,,,158334,Farfantepenaeus duorarum,Farf sp. duorarum?,Farf sp. duorarum?,Farfantepenaeus duorarum,,FARDUO,shrimp,Farfantepenaeus duorarum,Penaeus (Farfantepenaeus) duorarum,Species
52,,,,,,158331,Farfantepenaeus,,,Farfantepenaeus sp.,,,,Farfantepenaeus sp.,Penaeus (Farfantepenaeus),Genus
53,,,,,,154194,Fundulidae,Fundulidae,Fundulidae,Fundulidae,Fundulidae,FUNSPP,fish,Fundulidae,Fundulidae,Family
54,gulf killifish,Fundulus grandis,TRUE,TRUE,TRUE,276030,Fundulus grandis,F. grandis,F. grandis,Fundulus grandis,gulf killifish,FUNGRA ,fish,Fundulus grandis,Fundulus grandis,Species
55,saltmarsh topminnow,Fundulus jenkinsi,TRUE,TRUE,TRUE,276031,Fundulus jenkinsi,F. jenkinsi,F. jenkinsi,Fundulus jenkinsi,saltmarsh topminnow,FUNJEN,fish,Fundulus jenkinsi,Fundulus jenkinsi,Species
56,bayou killifish,Fundulus pulvereus,TRUE,FALSE,FALSE,276033,Fundulus pulvereus,,,Fundulus pulvereus,,,,Fundulus pulvereus,Fundulus pulvereus,Species
57,longnose killifish,Fundulus similis,FALSE,FALSE,TRUE,276034,Fundulus similis,,,,,,,,Fundulus similis,Species
58,,,,,,159292,Fundulus,,,Fundulus sp.,,,,Fundulus sp.,Fundulus,Genus
59,diamond killifish,Fundulus xenicus,TRUE,TRUE,TRUE,308885,Fundulus xenicus,A. xenica,A. xenica,Fundulus xenicus,diamond killifish,FUNXEN,fish,,Fundulus xenicus,Species
60,Mosquitofish,Gambusia affinis ,FALSE,FALSE,TRUE,159325,Gambusia affinis,,,,,,,,Gambusia affinis,Species
61,,,,,,151456,Gerreidae,,,Gerreidae,,,,Gerreidae,Gerreidae,Family
62,skilletfish,Gobiesox strumosus,TRUE,FALSE,FALSE,158787,Gobiesox strumosus,,,Gobiesox strumosus,,,,Gobiesox strumosus,Gobiesox strumosus,Species
63,,,,,,125537,Gobiidae,Gobiidae,Gobiidae,Gobiidae,Gobiidae,GOBSPP,fish,Gobiidae,Gobiidae,Family
64,highfin goby ,Gobionellus oceanicus,TRUE,TRUE,TRUE,159753,Gobionellus oceanicus,G. oceanicus,G. oceanicus,Gobionellus oceanicus,highfin goby ,GOBOCE ,fish,Gobionellus oceanicus,Gobionellus oceanicus,Species
65,naked goby,Gobiosoma bosc,TRUE,TRUE,TRUE,159767,Gobiosoma bosc,G. bosc,G. bosc,Gobiosoma bosc,naked goby,GOBBOS,fish,Gobiosoma bosc,Gobiosoma bosc,Species
66,code goby,Gobiosoma robustum,TRUE,FALSE,FALSE,276514,Gobiosoma robustum,,,Gobiosoma robustum,,,,Gobiosoma robustum,Gobiosoma robustum,Species
67,,,,,,826651,Gobiosoma,,,Gobiosoma sp.,,,,Gobiosoma sp.,Gobiosoma,Genus
