"","species","sti","sti_2.5","sti_97.5","sti_range","northern_lat","n_kept"
"1","Alpheus heterochaelis",9.64090902155096,4.85250014066696,15.8424998998642,10.9899997591972,30.4941472,22
"2","Anchoa mitchilli",2.63774834691689,-5.82500016689301,13.3999996185303,19.2249997854233,41.5582345,151
"3","Armases cinereum",4.562686581109,-3.90250001549721,15.0350001335144,18.9375001490116,39.25727583,134
"4","Bagre marinus",8.98571431264281,3.55499994754791,19.7949994087219,16.239999461174,33.66892119,112
"5","Bathygobius soporator",13.1162162449983,4.30000007152557,22.7000007629395,18.4000006914139,34.4422538,111
"6","Citharichthys spilopterus",7.81521740685339,2.0249999910593,20.8625004291534,18.8375004380941,34.71695985,46
"7","Clibanarius vittatus",7.57973855811786,-2.17999992370605,17.8399993896484,20.0199993133545,38.2876952,153
"8","Crassostrea virginica",-0.395098026403609,-14.3999996185303,16.2749996185303,30.6749992370605,52.91666825,306
"9","Ctenogobius shufeldti",6.19230775649731,-2.54999988079071,18.6500003814697,21.2000002622604,40.0803378,13
"10","Cynoscion nebulosus",5.93144654103045,-2.80499995946884,16.6800004005432,19.485000360012,38.58458662,159
"11","Eucinostomus melanopterus",15.7146666733424,0.764999979734421,22.2000007629395,21.435000783205,43.6830056800001,75
"12","Evorthodus lyricus",8.97058820724487,1.61999998092651,22.4400001525879,20.8200001716614,35.62224396,17
"13","Fundulus grandis",6.49117647140634,-1.98999999761581,15.4474997997284,17.4374997973442,32.63368332,102
"14","Fundulus jenkinsi",3.88333326950669,-0.0250000013038516,6.91249990463257,6.93749990593642,33.09694315,6
"15","Fundulus similis",8.09500000476837,4.9475000500679,15.8524998903275,10.9049998402596,30.6563022,60
"16","Gobionellus oceanicus",8.89333340326945,3.07249993085861,21.7650004863739,18.6925005555153,32.80237857,30
"17","Lagodon rhomboides",5.45290698440269,-5.19999980926514,17.0625007629395,22.2625005722046,41.499329,172
"18","Littoraria irrorata",3.44273505334416,-3.71000003814697,10.2099998474121,13.9199998855591,39.69603704,117
"19","Micropogonias undulatus",3.36273291119322,-4.80000019073486,15.1999998092651,20,51.8,161
"20","Mugil cephalus",6.44558441757962,-5.47750002145767,19.8999996185303,25.3774996399879,48.7472480999999,770
"21","Negaprion brevirostris",11.5660714145218,3.23750001192093,22.8250000476837,19.5875000357628,33.35547465,56
"22","Neverita delessertiana",7.35192306683614,1.53749997615814,12.3900001049042,10.852500128746,33.88153192,52
"23","Pachygrapsus gracilis",14.2380952608018,6.90000009536743,22.2999992370605,15.3999991416931,29.7683088,21
"24","Pagurus longicarpus",-2.76473686393154,-13.8099999666214,11.6924999475479,25.5024999141693,54.14962078,190
"25","Panopeus spp.",9.49999994701809,5.27999982833862,14.4400001525879,9.16000032424927,30.97332608,9
"27","Petrolisthes armatus",9.34050637332699,1.38499997854233,19.9099996566772,18.5249996781349,34.7131189,79
"28","Phrontis vibex",7.46811595688695,-5.3600001335144,18.8500007629395,24.2100008964539,41.57821944,69
"29","Poecilia latipinna",7.0906504232709,1.11250002682209,16.525000333786,15.4125003069639,35.6428327,246
"30","Probopyrus pandalicola",-0.0299999952316284,-5.59499995708466,5.12749992609024,10.7224998831749,41.21798927,10
"31","Solenosteira cancellaria",7.39047618139358,5.04999995231628,12.7000002861023,7.65000033378601,30.379361,21
"32","Symphurus plagiusa",4.13225805951703,-4.54249995946884,16.9425001621246,21.4850001215935,40.64465666,62
"33","Syngnathus scovelli",8.73863633654334,4.52250001430512,15.5925003528595,11.0700003385544,30.84695973,44
"34","Trinectes maculatus",2.86016263128296,-7.01499991416931,15.1000003814697,22.115000295639,41.7624892,123
"35","Urosalpinx cinerea",-1.56153845271239,-11.4424997806549,8.02500010728836,19.4674998879433,52.94525962,104
