"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4054807526,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/148572689","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Armases","Armases americanum",NA,"SPECIES","Armases americanum (de Saussure, 1857)","Armases americanum",NA,"PA",NA,"Bocas del Toro","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",9.342231,-82.20645,NA,NA,NA,NA,NA,NA,"2023-02-11T20:41:54",11,2,2023,5974784,5974784,"HUMAN_OBSERVATION","iNaturalist","Observations",148572689,NA,"Scott Loarie",2023-03-01 07:26:41,"CC_BY_NC_4_0","Benoît Segerer","Benoît Segerer",NA,NA,2025-06-06 23:59:17.534,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4054803795,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/150107331","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Armases","Armases americanum",NA,"SPECIES","Armases americanum (de Saussure, 1857)","Armases americanum",NA,"CR",NA,"Limón","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",10.535088,-83.506905,469,NA,NA,NA,NA,NA,"2022-07-22T08:49",22,7,2022,5974784,5974784,"HUMAN_OBSERVATION","iNaturalist","Observations",150107331,NA,"R.E.Llanos",2023-03-03 04:31:14,"CC_BY_NC_4_0","R.E.Llanos","R.E.Llanos",NA,NA,2025-06-07 00:59:49.904,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4039166809,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/148997629","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Armases","Armases americanum",NA,"SPECIES","Armases americanum (de Saussure, 1857)","Armases americanum",NA,"CR",NA,"Limón","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",9.731219,-82.831566,557,NA,NA,NA,NA,NA,"2023-02-17T14:54:30",17,2,2023,5974784,5974784,"HUMAN_OBSERVATION","iNaturalist","Observations",148997629,NA,"Scott Loarie",2023-02-18 21:54:35,"CC_BY_NC_4_0","schelv","schelv",NA,NA,2025-06-07 00:13:38.392,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4022053682,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/143519328","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Armases","Armases americanum",NA,"SPECIES","Armases americanum (de Saussure, 1857)","Armases americanum",NA,"MX",NA,"Veracruz","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",20.952436,-97.326111,4,NA,NA,NA,NA,NA,"2022-08-04T23:24",4,8,2022,5974784,5974784,"HUMAN_OBSERVATION","iNaturalist","Observations",143519328,NA,"Broughton Taylor",2023-01-23 15:39:09,"CC_BY_NC_4_0","Mauricio Hernández Sánchez","Mauricio Hernández Sánchez",NA,NA,2025-06-07 01:04:55.093,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
3988598873,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/143477581","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Armases","Armases americanum",NA,"SPECIES","Armases americanum (de Saussure, 1857)","Armases americanum",NA,"MX",NA,"Veracruz","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",20.284915,-96.863879,15,NA,NA,NA,NA,NA,"2022-08-02T03:07",2,8,2022,5974784,5974784,"HUMAN_OBSERVATION","iNaturalist","Observations",143477581,NA,"Scott Loarie",2022-12-02 17:39:32,"CC_BY_NC_4_0","Mauricio Hernández Sánchez","Mauricio Hernández Sánchez",NA,NA,2025-06-07 01:35:19.643,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
3961041590,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140782917","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Armases","Armases americanum",NA,"SPECIES","Armases americanum (de Saussure, 1857)","Armases americanum",NA,"PA",NA,"Bocas del Toro","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",9.315086,-82.156128,560,NA,NA,NA,NA,NA,"2022-10-21T20:21",21,10,2022,5974784,5974784,"HUMAN_OBSERVATION","iNaturalist","Observations",140782917,NA,"Scott Loarie",2022-11-02 03:11:27,"CC_BY_NC_4_0","abatista","abatista",NA,NA,2025-06-07 01:18:34.022,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
3947468544,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/111953798","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Armases","Armases americanum",NA,"SPECIES","Armases americanum (de Saussure, 1857)","Armases americanum",NA,"GT",NA,"Izabal","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",15.781019,-88.79262,NA,NA,NA,NA,NA,NA,"2022-04-18T08:38:06",18,4,2022,5974784,5974784,"HUMAN_OBSERVATION","iNaturalist","Observations",111953798,NA,"Scott Loarie",2022-10-16 03:42:02,"CC0_1_0","kkacheltje","kkacheltje",NA,NA,2025-06-07 00:39:45.289,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
3947399611,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/124482440","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Armases","Armases americanum",NA,"SPECIES","Armases americanum (de Saussure, 1857)","Armases americanum",NA,"CR",NA,"Limón","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",10.209424,-83.27481,13,NA,NA,NA,NA,NA,"2022-06-17T06:06",17,6,2022,5974784,5974784,"HUMAN_OBSERVATION","iNaturalist","Observations",124482440,NA,"Scott Loarie",2022-10-16 03:02:34,"CC_BY_NC_4_0","Asher Perla","Asher Perla",NA,NA,2025-06-07 00:02:47.004,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
3947237614,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/119141519","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Armases","Armases americanum",NA,"SPECIES","Armases americanum (de Saussure, 1857)","Armases americanum",NA,"GT",NA,"Izabal","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",15.853653,-88.786714,221,NA,NA,NA,NA,NA,"2022-05-23T10:27",23,5,2022,5974784,5974784,"HUMAN_OBSERVATION","iNaturalist","Observations",119141519,NA,"Scott Loarie",2022-10-16 03:41:44,"CC_BY_NC_4_0","Nicolas Pratlong","Nicolas Pratlong",NA,NA,2025-06-07 02:42:48.586,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
3456181427,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/16924986","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Armases","Armases americanum",NA,"SPECIES","Armases americanum (de Saussure, 1857)","Armases americanum",NA,"PA",NA,"Bocas del Toro","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",9.404795,-82.269193,5548,NA,NA,NA,NA,NA,"2012-06-05T09:46",5,6,2012,5974784,5974784,"HUMAN_OBSERVATION","iNaturalist","Observations",16924986,NA,"José Montoya",2020-05-03 00:43:14,"CC_BY_NC_4_0","John G. Phillips","John G. Phillips",NA,NA,2025-06-07 00:24:59.125,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
2626141611,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/34848718","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Armases","Armases americanum",NA,"SPECIES","Armases americanum (de Saussure, 1857)","Armases americanum",NA,"CR",NA,"Limón","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",10.552558,-83.507087,176,NA,NA,NA,NA,NA,"2019-10-13T20:49:43",13,10,2019,5974784,5974784,"HUMAN_OBSERVATION","iNaturalist","Observations",34848718,NA,"José Montoya",2020-05-03 00:40:31,"CC_BY_NC_4_0","Jonathan Bonin Bourgault","Jonathan Bonin Bourgault",NA,NA,2025-06-07 01:24:08.967,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
