"","Achirus lineatus","Alpheus heterochaelis","Anchoa mitchilli","Archosargus probatocephalus","Ariopsis felis","Armases americanum","Armases benedicti","Armases cinereum","Bagre marinus","Bairdiella chrysoura","Bathygobius soporator","Callinectes sapidus","Callinectes similis","Citharichthys spilopterus","Clibanarius vittatus","Crassostrea virginica","Ctenogobius boleosoma","Ctenogobius shufeldti","Cynoscion arenarius","Cynoscion nebulosus","Cyprinodon variegatus","Dormitator maculatus","Eleotris amblyopsis","Eucinostomus argenteus","Eucinostomus melanopterus","Eurytium limosum","Evorthodus lyricus","Fundulus grandis","Fundulus jenkinsi","Fundulus pulvereus","Fundulus similis","Fundulus xenicus","Gobionellus oceanicus","Gobiosoma bosc","Lagodon rhomboides","Leiostomus xanthurus","Littoraria irrorata","Lucania parva","Lutjanus griseus","Menidia beryllina","Micropogonias undulatus","Minuca spp.","Mugil cephalus","Mugil curema","Myrophis punctatus","Negaprion brevirostris","Neverita delessertiana","Opsanus beta","Pachygrapsus gracilis","Pagurus longicarpus","Palaemon spp.","Panopeus spp.","Paralichthys lethostigma","Penaeus aztecus","Penaeus duorarum","Penaeus setiferus","Petrolisthes armatus","Phrontis vibex","Poecilia latipinna","Pogonias cromis","Probopyrus pandalicola","Rhithropanopeus harrisii","Sciaenops ocellatus","Sesarma reticulatum","Solenosteira cancellaria","Symphurus plagiusa","Syngnathus louisianae","Syngnathus scovelli","Trinectes maculatus","Urosalpinx cinerea","SampleID","mean_sti","mean_sti_2.5","Year","mean_sti_range"
"KATBF-2005-03",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KATBF-2005-03",5.05584415169377,-5.73650006175041,"2006",21.2357499969006
"KATBF-2005-04",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"KATBF-2005-04",8.13919085102144,-5.52550001263618,"2006",25.0712498819828
"KATBF-2005-10",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"KATBF-2005-10",2.506880183699,-9.39500012695789,"2006",25.5068748980761
"KATBF-2005-11",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"KATBF-2005-11",3.77292226846632,-6.20437510609627,"2006",20.8093749761581
"KATBF-2005-12",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KATBF-2005-12",4.82360450713198,-5.53671886473894,"2006",21.2229686096311
"KATBF-2005-13",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KATBF-2005-13",5.78852571989094,-5.57379315063871,"2006",21.3815517096684
"KATBF-2005-15",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KATBF-2005-15",6.25203592002933,-5.38083342909813,"2006",23.591666585207
"KATBF-2005-16",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"KATBF-2005-16",5.83999356646542,-5.83819452457958,"2006",23.4836109446155
"KATBF-2005-19",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KATBF-2005-19",6.35630530784234,-5.67750006423277,"2006",23.5783822354148
"KATBF-2005-20",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"KATBF-2005-20",5.50127424321344,-5.06392862200737,"2006",21.4071428307465
