"species","sti","sti_2.5","sti_97.5","sti_range","northern_lat","n_kept"
"Achirus lineatus",11.6785713718051,5.00249999761581,21.9900000095367,16.9875000119209,30.92771295,42
"Alpheus heterochaelis",9.60909089175138,4.80000019073486,15.6475001096725,10.8474999189377,30.6124102,22
"Anchoa mitchilli",2.63907283080729,-5.57500004768372,13.3999996185303,18.974999666214,41.5582345,151
"Archosargus probatocephalus",7.483615850914,-4.28000001907349,18.8200000762939,23.1000000953674,42.02195088,177
"Ariopsis felis",9.46086957489235,4.54249995946884,18.6724995613098,14.129999601841,31.35633518,138
"Armases americanum",19.3777781592475,15.4200004577637,21.2000007629395,5.78000030517578,20.89903432,9
"Armases benedicti",22.3499994277954,21.9224996089935,22.7774992465973,0.854999637603761,-0.06484537,2
"Armases cinereum",4.55820895948294,-3.70000004768372,15.0350001335144,18.7350001811981,39.21239444,134
"Avicennia germinans",16.579279272406,5.80000019073486,22.7999992370605,16.9999990463257,30.36329345,444
"Bagre marinus",8.99107145890594,3.47750002145767,19.7949994087219,16.3174993872642,33.66892119,112
"Bairdiella chrysoura",3.75033113222249,-5.04999995231628,13.0500001907349,18.1000001430511,40.9126535,151
"Bathygobius soporator",13.1531531767802,4.30000007152557,22.7000007629395,18.4000006914139,34.4422538,111
"Callinectes sapidus",5.90982405833703,-7.49500000476837,21.3974996089935,28.8924996137619,53.17313912,682
"Callinectes similis",6.65535711709942,-1.93749997019768,16,17.9374999701977,38.74053875,56
"Citharichthys spilopterus",7.82391308183255,2.0249999910593,20.9500007629395,18.9250007718801,34.71695985,46
"Clibanarius vittatus",7.59673202933829,-1.86000003814697,18,19.860000038147,38.3327992,153
"Crassostrea virginica",-0.396732015742196,-14.3999996185303,16.2749996185303,30.6749992370605,52.91666825,306
"Ctenogobius boleosoma",9.13703704321826,-5.2099999666214,20.3199998855591,25.5299998521805,41.34169388,27
"Ctenogobius shufeldti",6.19230775649731,-2.54999988079071,18.6500003814697,21.2000002622604,40.0803378,13
"Cynoscion arenarius",7.47096774270458,4.07249995470047,11.8850001096725,7.81250015497208,33.67851436,62
"Cynoscion nebulosus",5.9182390215918,-2.80499995946884,16.6800004005432,19.485000360012,38.60636754,159
"Cyprinodon variegatus",3.78695653252987,-6.2850001335144,16.5400004386902,22.8250005722046,41.63683574,207
"Dormitator maculatus",11.7655555327733,1.56749998927116,21.8774995326996,20.3099995434284,35.38316464,90
"Eleotris amblyopsis",13.3444445663028,1.83999997973442,21.4300005435944,19.5900005638599,35.03965805,18
"Eucinostomus argenteus",9.91363638503985,-3.39749990999699,22.2924993515015,25.6899992614984,40.05970446,44
"Eucinostomus melanopterus",15.7000000143051,0.764999979734421,22.2000007629395,21.435000783205,43.6830056800001,75
"Eurytium limosum",6.30833327770233,1.00999996960163,18.7699995517731,17.7599995821714,33.93365241,12
"Evorthodus lyricus",9.03529411203721,1.61999998092651,22.4400001525879,20.8200001716614,35.62224396,17
"Fundulus grandis",6.49803919520448,-1.98999999761581,15.1849997997284,17.1749997973442,32.63149996,102
"Fundulus jenkinsi",3.83333331719041,-0.0250000013038516,6.87499994039536,6.89999994169921,33.09694315,6
"Fundulus pulvereus",6.21818178350275,4.74999988079071,8.54999995231628,3.80000007152557,30.447159,11
"Fundulus similis",8.11166665554047,4.9475000500679,15.8524998903275,10.9049998402596,30.652479,60
"Fundulus xenicus",6.44137931692189,4.81000003814697,9.33000011444092,4.52000007629395,30.4351718,29
"Gobionellus oceanicus",8.91000005404154,3.07249993085861,21.7375003814697,18.6650004506111,32.80237857,30
"Gobiosoma bosc",1.21999998066355,-6.05999989509583,10.0900003433228,16.1500002384186,51.4884352,85
"Lagodon rhomboides",5.45523258489232,-5.3450000166893,17.0625007629395,22.4075007796288,41.499329,172
"Leiostomus xanthurus",1.97468355335767,-6.11499992609024,11.1225003242493,17.2375002503395,41.36223385,158
"Littoraria irrorata",3.46752136315291,-3.71000003814697,10.1100003242493,13.8200003623962,39.53661584,117
"Lucania parva",3.19736840772001,-6.32500016689301,15.650000333786,21.975000500679,41.641926,76
"Lutjanus griseus",13.514122154194,-4.64250009059906,22.2950002193451,26.9375003099442,41.22206114,262
"Menidia beryllina",1.7898477151763,-5.50999999046326,12.3399998664856,17.8499998569488,41.4734094,197
"Micropogonias undulatus",3.35838508767926,-4.80000019073486,15.1999998092651,20,51.824,161
"Minuca spp.",6.51799999237061,4.52249997854233,10.0550002098083,5.53250023126602,30.43198585,50
"Mugil cephalus",6.44545455300189,-5.47750002145767,19.8999996185303,25.3774996399879,48.7472480999999,770
"Mugil curema",10.5434554936998,-5.04999995231628,21.9999995231628,27.0499994754791,45.8012147,191
"Myrophis punctatus",7.14285712582724,1.40250001549721,13.0624996185303,11.6599996030331,35.51737064,28
"Negaprion brevirostris",11.5821428447962,3.23750001192093,22.8250000476837,19.5875000357628,33.35547465,56
"Neverita delessertiana",7.31538460346369,1.53749997615814,12.3900001049042,10.852500128746,33.88153192,52
"Opsanus beta",9.42676059964677,4.90000009536743,17.0999999046326,12.1999998092651,30.395003,71
"Pachygrapsus gracilis",14.2380952608018,6.90000009536743,22.2999992370605,15.3999991416931,29.7683088,21
"Pagurus armatus",-0.564705895588678,-5.90750011205673,2.98499995470046,8.89250006675719,58.23627868,34
"Pagurus longicarpus",-2.78526315500862,-13.8649999141693,11.6924999475479,25.5574998617172,54.14962078,190
"Palaemon spp.",0.892307611612173,-11.8625001907349,15.7749997377396,27.6374999284744,46.37592575,26
"Panopeus spp.",9.53333330154419,5.27999982833862,14.5000001907349,9.22000036239624,30.97332608,9
"Paralichthys lethostigma",7.94999980926514,7.23749980926514,8.66249980926514,1.425,28.14031966,2
"Penaeus aztecus",4.89750000834465,-5.31750018596649,18.3974992752075,23.714999461174,47.69869655,40
"Penaeus duorarum",12.6642856725625,4.19500012099743,20.6474999904633,16.4524998694658,32.47956819,28
"Penaeus setiferus",3.89687501057051,-4.3524999320507,10.4700000286102,14.8224999606609,40.66884207,64
"Petrolisthes armatus",9.33924057362955,1.28999995589256,19.9099996566772,18.6199997007847,34.6910371,79
"Phrontis vibex",7.46666666476623,-5.3600001335144,18.8500007629395,24.2100008964539,41.57821944,69
"Poecilia latipinna",7.07520326463188,1.11250002682209,16.5125002861023,15.4000002592802,35.64273975,246
"Pogonias cromis",5.03999999086646,-4.67749983072281,15.55,20.2274998307228,40.78444242,170
"Probopyrus pandalicola",-0.0299999952316284,-5.59499995708466,5.12749992609024,10.7224998831749,41.21798927,10
"Rhithropanopeus harrisii",-3.11628960325842,-10.8500003814697,9.45000028610229,20.300000667572,60.604296,221
"Sciaenops ocellatus",5.34870466034029,-3.20000004768372,12.9199998855591,16.1199999332428,38.90774664,193
"Sesarma reticulatum",2.3965517282486,-6.47250002622604,11.5,17.972500026226,41.90125121,58
"Solenosteira cancellaria",7.36190478006999,5.04999995231628,12.7000002861023,7.65000033378601,30.379361,21
"Sporobolus alterniflorus",-3.00952385720753,-19.0500001907349,8.09999990463257,27.1500000953674,57.4590492,21
"Symphurus plagiusa",4.13225808643526,-4.54249995946884,16.5225005626679,21.0650005221367,40.64465666,62
"Syngnathus louisianae",8.39999995946884,1.0599999666214,16.4999996185303,15.4399996519089,36.16086688,25
"Syngnathus scovelli",8.71136360276829,4.52250001430512,15.4774999856949,10.9549999713898,30.84695973,44
"Trinectes maculatus",2.86747969456804,-6.99999990463257,15.1000003814697,22.1000002861023,41.74492286,123
"Urosalpinx cinerea",-1.56730767626029,-11.5274996995926,8.02500010728836,19.5524998068809,52.94525962,104
