"","species","Min Latitude","Mean Latitude","Max Latitude","common_name","scientific_name","X2005","X2016","X2022","AphiaID"
"46","Pagurus longicarpus",25.116377,38.3851807868852,48.803486,"long wristed hermit crab","Pagurus longicarpus",TRUE,FALSE,TRUE,158403
"47","Paralichthys lethostigma",27.401944,27.774861,28.147778,"southern flouder","Paralichthys lethostigma ",TRUE,TRUE,TRUE,158829
"48","Penaeus aztecus",18.936514,31.8640179714286,41.376745,"white shrimp","Farfantepenaeus aztecus",TRUE,TRUE,TRUE,158332
"49","Penaeus duorarum",18.641197,26.20649536,33.350103,"pink shrimp","Farfantepenaeus duorarum",TRUE,TRUE,FALSE,158334
"50","Penaeus setiferus",18.599818,32.075358765625,40.858794,"white shrimp","Litopenaeus setiferus",TRUE,TRUE,TRUE,158336
"51","Petrolisthes armatus",-25.422155,23.9410620759494,34.786825,"Green porcelain crab","Petrolisthes armatus",FALSE,TRUE,TRUE,396707
"52","Phrontis vibex",-27.453182,24.1032046956522,41.930488,"bruissed nassa","Phrontis vibex",FALSE,FALSE,TRUE,877061
"53","Poecilia latipinna",-14.087709,29.1179521101322,51.169426,"sailfin molly","Poecilia latipinna",FALSE,TRUE,TRUE,275348
"54","Pogonias cromis",-31.848611,28.5293991117647,41.043002,"black drum","Pogonias cromis",FALSE,TRUE,TRUE,159333
"55","Probopyrus pandalicola",30.392178,35.8802346,41.38439,"parasite","Probopyrus pandalicola",FALSE,FALSE,TRUE,157905
"56","Rhithropanopeus harrisii",25.873958,36.6702673939394,47.747192,"harris mud crab","Rhithropanopeus harrisii",TRUE,FALSE,FALSE,107414
"57","Sciaenops ocellatus",20.438532,30.9423603913043,39.204305,"red drum","Sciaenops ocellatus",TRUE,TRUE,TRUE,159335
"58","Sesarma reticulatum",24.832131,33.5207413793103,41.923052,"purple marsh crab","Sesarma reticulatum",TRUE,TRUE,FALSE,158458
"59","Solenosteira cancellaria",20.979638,28.6498956190476,30.392439,"sea snail","Solenosteira cancellaria",FALSE,FALSE,TRUE,419981
"60","Symphurus plagiusa",4.91042,32.0893509032258,40.935989,"blackcheek tonguefish","Symphurus plagiusa",TRUE,TRUE,TRUE,159363
"61","Syngnathus louisianae",20.857883,28.99166464,36.27595,"chain pipefish","Syngnathus louisianae",TRUE,TRUE,TRUE,159453
"62","Syngnathus scovelli",25.1199,28.24257075,31.160382,"gulf pipefish","Syngnathus scovelli",TRUE,TRUE,TRUE,275232
"63","Trinectes maculatus",-2.664354,32.5470326178862,41.888357,"hogchoker","Trinectes maculatus ",FALSE,FALSE,TRUE,159271
"64","Urosalpinx cinerea",26.829111,38.4394517647059,46.6,"oyster drill ","Urosalpinx cinerea",FALSE,FALSE,TRUE,140429
