"species","sti","sti_2.5","sti_97.5","sti_range","northern_lat","n_kept"
"Achirus lineatus",11.6642856711433,5.00249999761581,21.9900000095367,16.9875000119209,30.92771295,42
"Alpheus heterochaelis",9.64090902155096,4.85250014066696,15.8424998998642,10.9899997591972,30.4941472,22
"Anchoa mitchilli",2.63774834691689,-5.82500016689301,13.3999996185303,19.2249997854233,41.5582345,151
"Archosargus probatocephalus",7.44971755727873,-3.97999992370605,18.8200000762939,22.8,42.02195088,177
"Ariopsis felis",9.51884056519771,4.54249995946884,18.6724995613098,14.129999601841,31.35894109,138
"Armases americanum",19.3888893127441,15.4200004577637,21.2000007629395,5.78000030517578,20.89903432,9
"Armases benedicti",22.3499994277954,21.9224996089935,22.7774992465973,0.854999637603761,-0.06484537,2
"Armases cinereum",4.562686581109,-3.90250001549721,15.0350001335144,18.9375001490116,39.25727583,134
"Avicennia germinans",16.5777027005548,5.80000019073486,22.7999992370605,16.9999990463257,30.36358415,444
"Bagre marinus",8.98571431264281,3.55499994754791,19.7949994087219,16.239999461174,33.66892119,112
"Bairdiella chrysoura",3.72781458674677,-5.04999995231628,13.0500001907349,18.1000001430511,40.9177825,151
"Bathygobius soporator",13.1162162449983,4.30000007152557,22.7000007629395,18.4000006914139,34.4422538,111
"Callinectes sapidus",5.91598241030077,-7.29750018119812,21.3974996089935,28.6949997901917,53.17305533,682
"Callinectes similis",6.625000020223,-1.93749997019768,15.9624998569489,17.8999998271465,38.74053875,56
"Citharichthys spilopterus",7.81521740685339,2.0249999910593,20.8625004291534,18.8375004380941,34.71695985,46
"Clibanarius vittatus",7.57973855811786,-2.17999992370605,17.8399993896484,20.0199993133545,38.2876952,153
"Crassostrea virginica",-0.395098026403609,-14.3999996185303,16.2749996185303,30.6749992370605,52.91666825,306
"Ctenogobius boleosoma",9.14074076105047,-5.175,20.3199998855591,25.4949998855591,41.33921858,27
"Ctenogobius shufeldti",6.19230775649731,-2.54999988079071,18.6500003814697,21.2000002622604,40.0803378,13
"Cynoscion arenarius",7.46290324964831,4.07249995470047,11.8850001096725,7.81250015497208,33.67851436,62
"Cynoscion nebulosus",5.93144654103045,-2.80499995946884,16.6800004005432,19.485000360012,38.58458662,159
"Cyprinodon variegatus",3.75555555223699,-6.2850001335144,16.5400004386902,22.8250005722046,41.63548402,207
"Dormitator maculatus",11.7711110803816,1.56749998927116,21.8774995326996,20.3099995434284,35.38316464,90
"Eleotris amblyopsis",13.3444445663028,1.83999997973442,21.4300005435944,19.5900005638599,35.03965805,18
"Eucinostomus argenteus",9.95227273570543,-3.39749990999699,22.2924993515015,25.6899992614984,40.05970446,44
"Eucinostomus melanopterus",15.7146666733424,0.764999979734421,22.2000007629395,21.435000783205,43.6830056800001,75
"Eurytium limosum",6.30833327770233,1.00999996960163,18.7699995517731,17.7599995821714,33.93365241,12
"Evorthodus lyricus",8.97058820724487,1.61999998092651,22.4400001525879,20.8200001716614,35.62224396,17
"Fundulus grandis",6.49117647140634,-1.98999999761581,15.4474997997284,17.4374997973442,32.63368332,102
"Fundulus jenkinsi",3.88333326950669,-0.0250000013038516,6.91249990463257,6.93749990593642,33.09694315,6
"Fundulus pulvereus",6.21818178350275,4.74999988079071,8.54999995231628,3.80000007152557,30.5656125,11
"Fundulus similis",8.09500000476837,4.9475000500679,15.8524998903275,10.9049998402596,30.6563022,60
"Fundulus xenicus",6.43793104434836,4.81000003814697,9.33000011444092,4.52000007629395,30.43542464,29
"Gobionellus oceanicus",8.89333340326945,3.07249993085861,21.7650004863739,18.6925005555153,32.80237857,30
"Gobiosoma bosc",1.21882350786644,-6.05999989509583,10.0900003433228,16.1500002384186,51.4736512,85
"Lagodon rhomboides",5.45290698440269,-5.19999980926514,17.0625007629395,22.2625005722046,41.499329,172
"Leiostomus xanthurus",1.95000002028633,-6.50749999284744,11.21499979496,17.7224997878075,41.36223385,158
