
Avicennia germinans: https://doi.org/10.15468/dl.48k4ee

Spartina alterniflora: https://doi.org/10.15468/dl.9nzs6p

Armases benedicti: https://doi.org/10.15468/dl.dcku5a

Avicennia germinans: https://doi.org/10.15468/dl.zsrcpg

Spartina alterniflora: https://doi.org/10.15468/dl.5wc5p2

Armases cinereum: https://doi.org/10.15468/dl.a8ue8b

Avicennia germinans: https://doi.org/10.15468/dl.h6kqqz

Spartina alterniflora: https://doi.org/10.15468/dl.ysv8nh

Bagre marinus: https://doi.org/10.15468/dl.u9gcf2

Avicennia germinans: https://doi.org/10.15468/dl.ewmxqc

Spartina alterniflora: https://doi.org/10.15468/dl.ck3vwj

Bairdiella chrysoura: https://doi.org/10.15468/dl.68wvgf

Avicennia germinans: https://doi.org/10.15468/dl.2urp7w

Spartina alterniflora: https://doi.org/10.15468/dl.rsmhbj

Bathygobius soporator: https://doi.org/10.15468/dl.wm2773

Avicennia germinans: https://doi.org/10.15468/dl.edcv76

Spartina alterniflora: https://doi.org/10.15468/dl.vx42hb

Callinectes sapidus: https://doi.org/10.15468/dl.xj9e3h

Avicennia germinans: https://doi.org/10.15468/dl.d5jbxm

Spartina alterniflora: https://doi.org/10.15468/dl.jd8m6d

Callinectes similis: https://doi.org/10.15468/dl.xvjzrn

Avicennia germinans: https://doi.org/10.15468/dl.jq6kd6

Spartina alterniflora: https://doi.org/10.15468/dl.84jcak

Citharichthys spilopterus: https://doi.org/10.15468/dl.z3z7y8

Avicennia germinans: https://doi.org/10.15468/dl.t6pmfw

Spartina alterniflora: https://doi.org/10.15468/dl.2zszj3

Clibanarius vittatus: https://doi.org/10.15468/dl.yadjxt

Avicennia germinans: https://doi.org/10.15468/dl.2jva96

Spartina alterniflora: https://doi.org/10.15468/dl.8wsmkg

Crassostrea virginica: https://doi.org/10.15468/dl.kdq74v

Avicennia germinans: https://doi.org/10.15468/dl.mumces

Spartina alterniflora: https://doi.org/10.15468/dl.3f86ha

Ctenogobius boleosoma: https://doi.org/10.15468/dl.ubjv8s

Avicennia germinans: https://doi.org/10.15468/dl.rw6mrg

Spartina alterniflora: https://doi.org/10.15468/dl.58nczq

Ctenogobius shufeldti: https://doi.org/10.15468/dl.xuyfrj

Avicennia germinans: https://doi.org/10.15468/dl.vvuafw

Spartina alterniflora: https://doi.org/10.15468/dl.pzay8b

Cynoscion arenarius: https://doi.org/10.15468/dl.6pneq2

Avicennia germinans: https://doi.org/10.15468/dl.7km9cp

Spartina alterniflora: https://doi.org/10.15468/dl.m2ubck

Cynoscion nebulosus: https://doi.org/10.15468/dl.bshx22

Avicennia germinans: https://doi.org/10.15468/dl.hp5px9

Spartina alterniflora: https://doi.org/10.15468/dl.ruknp2

Cyprinodon variegatus: https://doi.org/10.15468/dl.3e5kpb

Avicennia germinans: https://doi.org/10.15468/dl.epufsb

Spartina alterniflora: https://doi.org/10.15468/dl.9stfnr

Dormitator maculatus: https://doi.org/10.15468/dl.ky6k6y

Avicennia germinans: https://doi.org/10.15468/dl.5k2xkc

Spartina alterniflora: https://doi.org/10.15468/dl.dvb4t3

Eleotris amblyopsis: https://doi.org/10.15468/dl.25bt9t

Avicennia germinans: https://doi.org/10.15468/dl.c77pr7

Spartina alterniflora: https://doi.org/10.15468/dl.fueddh

Eucinostomus argenteus: https://doi.org/10.15468/dl.4wmcgv

Avicennia germinans: https://doi.org/10.15468/dl.7shvtp

Spartina alterniflora: https://doi.org/10.15468/dl.c2kzxb

Eucinostomus melanopterus: https://doi.org/10.15468/dl.c57bj9

Avicennia germinans: https://doi.org/10.15468/dl.2h2mrj

Spartina alterniflora: https://doi.org/10.15468/dl.2et6cm

Eurytium limosum: https://doi.org/10.15468/dl.aey5rc

Avicennia germinans: https://doi.org/10.15468/dl.39n9c3

Spartina alterniflora: https://doi.org/10.15468/dl.2hb48m

Evorthodus lyricus: https://doi.org/10.15468/dl.98n6rh

Avicennia germinans: https://doi.org/10.15468/dl.h9a8e2

Spartina alterniflora: https://doi.org/10.15468/dl.4t3de3

Fundulus grandis: https://doi.org/10.15468/dl.vbwc4c

Avicennia germinans: https://doi.org/10.15468/dl.rbxeba

Spartina alterniflora: https://doi.org/10.15468/dl.hrpzdr

Fundulus jenkinsi: https://doi.org/10.15468/dl.vqt8af

Avicennia germinans: https://doi.org/10.15468/dl.qkgsfk

Spartina alterniflora: https://doi.org/10.15468/dl.tsd5n6

