"","Achirus lineatus","Alpheus heterochaelis","Anchoa mitchilli","Archosargus probatocephalus","Ariopsis felis","Armases americanum","Armases benedicti","Armases cinereum","Bagre marinus","Bairdiella chrysoura","Bathygobius soporator","Callinectes sapidus","Callinectes similis","Citharichthys spilopterus","Clibanarius vittatus","Crassostrea virginica","Ctenogobius boleosoma","Ctenogobius shufeldti","Cynoscion arenarius","Cynoscion nebulosus","Cyprinodon variegatus","Dormitator maculatus","Eleotris amblyopsis","Eucinostomus argenteus","Eucinostomus melanopterus","Eurytium limosum","Evorthodus lyricus","Fundulus grandis","Fundulus jenkinsi","Fundulus pulvereus","Fundulus similis","Fundulus xenicus","Gobionellus oceanicus","Gobiosoma bosc","Lagodon rhomboides","Leiostomus xanthurus","Littoraria irrorata","Lucania parva","Lutjanus griseus","Menidia beryllina","Micropogonias undulatus","Minuca spp.","Mugil cephalus","Mugil curema","Myrophis punctatus","Negaprion brevirostris","Neverita delessertiana","Opsanus beta","Pachygrapsus gracilis","Pagurus armatus","Pagurus longicarpus","Palaemon spp.","Panopeus spp.","Paralichthys lethostigma","Penaeus aztecus","Penaeus duorarum","Penaeus setiferus","Petrolisthes armatus","Phrontis vibex","Poecilia latipinna","Pogonias cromis","Probopyrus pandalicola","Rhithropanopeus harrisii","Sciaenops ocellatus","Sesarma reticulatum","Solenosteira cancellaria","Symphurus plagiusa","Syngnathus louisianae","Syngnathus scovelli","Trinectes maculatus","Urosalpinx cinerea","SampleID","mean_sti","mean_sti_2.5","Year","mean_sti_range"
"30",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,102,0,0,11,0,130,0,0,9,0,0,0,0,0,0,0,0,0,0,0,"30",5.4052947132314,-5.38165571823582,"2016",17.7747977704512
"31",0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,8,1,0,1,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,"31",6.37878926661801,1.60458071216064,"2016",9.60181662210647
"32",0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,0,21,3,0,34,0,115,0,0,7,0,0,0,0,0,0,0,0,0,0,0,"32",4.59910991739287,-4.96331697424744,"2016",17.271670928335
"33",0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,122,0,0,21,0,88,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"33",5.50570992471773,-7.51215700394968,"2016",21.0966667725448
"34",0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,19,0,0,22,0,36,0,0,2,0,0,0,0,0,0,1,0,0,0,0,"34",4.91805154758623,-5.29168516545784,"2016",18.2186143205673
"35",0,6,48,0,0,0,0,0,0,0,0,43,0,1,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,39,0,0,2,0,72,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"35",5.2410543297612,-6.17973085431972,"2016",18.9765685028907
"36",0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,79,0,0,8,0,87,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"36",5.72286561103525,-5.89266927477153,"2016",19.1882640809818
"37",0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,101,1,0,0,0,0,0,0,0,0,17,0,0,2,0,71,0,0,21,0,0,0,0,0,0,1,0,0,0,0,"37",5.63233673509523,-1.57857272379821,"2016",13.5762745203991
"38",0,1,0,0,0,0,0,0,0,0,0,59,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,84,0,0,5,0,30,0,0,1,0,0,0,0,2,0,0,0,0,0,0,"38",5.4110750999045,-9.03345474626081,"2016",24.1187324856989
"39",0,0,0,0,0,0,0,3,0,0,0,63,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,43,1,0,9,0,104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"39",4.58208140245932,-6.22583219251596,"2016",19.3662814886402
"40",0,0,0,0,0,0,0,0,0,0,0,101,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,23,0,0,17,0,68,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"40",4.1596187408992,-6.00284294440862,"2016",19.4930244986376
"41",0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,0,0,16,0,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"41",4.66080334251413,-5.64645247717699,"2016",18.1975834384135
"42",0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42",4.72317876610737,-6.51800000224795,"2016",19.8828212319101
"43",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"43",4.35617680818648,-5.43905007398129,"2016",17.8570500115156
"44",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,8,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"44",3.92458495844804,-4.41583678714779,"2016",15.0701225561223
"45",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"45",4.99361176831223,-5.38710538562976,"2016",18.4386842486733
"46",0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,37,0,0,3,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"46",5.58524884003111,-9.05734259840562,"2016",23.1379589242805
"47",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"47",4.64677561034365,-5.85353337105116,"2016",18.6051998708248
"48",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,40,0,40,0,0,9,0,0,0,0,0,0,0,0,0,0,0,"48",5.29054661376269,-6.92681683158944,"2016",19.9288395847875
"49",0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"49",4.533782801349,-6.31087519460917,"2016",19.9061252945065
"50",0,0,0,0,0,4,0,0,0,0,0,1,3,0,5,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,21,0,0,32,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50",6.1907433713394,-5.68695998308659,"2016",19.7065847594499
