"","species","Min Latitude","Mean Latitude","Max Latitude","common_name","scientific_name","X2005","X2016","X2022","AphiaID"
"46","Penaeus aztecus",18.936514,31.8661723142857,41.376745,"white shrimp","Farfantepenaeus aztecus",TRUE,TRUE,TRUE,158332
"47","Penaeus duorarum",18.641197,26.22543952,33.333958,"pink shrimp","Farfantepenaeus duorarum",TRUE,TRUE,FALSE,158334
"48","Penaeus setiferus",18.599818,32.080150046875,40.858794,"white shrimp","Litopenaeus setiferus",TRUE,TRUE,TRUE,158336
"49","Petrolisthes armatus",-25.422155,23.9445785063291,34.700719,"Green porcelain crab","Petrolisthes armatus",FALSE,TRUE,TRUE,396707
"50","Phrontis vibex",-27.453182,24.0988501304348,41.930488,"bruissed nassa","Phrontis vibex",FALSE,FALSE,TRUE,877061
"51","Poecilia latipinna",-14.087784,29.1221364361233,51.169426,"sailfin molly","Poecilia latipinna",FALSE,TRUE,TRUE,275348
"52","Pogonias cromis",-31.779444,28.5374905764706,41.043002,"black drum","Pogonias cromis",FALSE,TRUE,TRUE,159333
"53","Probopyrus pandalicola",30.392178,35.8802038,41.38439,"parasite","Probopyrus pandalicola",FALSE,FALSE,TRUE,157905
"54","Rhithropanopeus harrisii",25.873958,36.6775105909091,47.747192,"harris mud crab","Rhithropanopeus harrisii",TRUE,FALSE,FALSE,107414
"55","Sciaenops ocellatus",20.438532,30.9388930706522,39.204305,"red drum","Sciaenops ocellatus",TRUE,TRUE,TRUE,159335
"56","Sesarma reticulatum",24.832131,33.5225896551724,41.923411,"purple marsh crab","Sesarma reticulatum",TRUE,TRUE,FALSE,158458
"57","Solenosteira cancellaria",20.979638,28.6458030952381,30.392439,"sea snail","Solenosteira cancellaria",FALSE,FALSE,TRUE,419981
"58","Symphurus plagiusa",4.90925,32.0819848225806,40.935989,"blackcheek tonguefish","Symphurus plagiusa",TRUE,TRUE,TRUE,159363
"59","Syngnathus louisianae",20.857883,28.9847118,36.309333,"chain pipefish","Syngnathus louisianae",TRUE,TRUE,TRUE,159453
"60","Syngnathus scovelli",25.07459,28.24726,31.160382,"gulf pipefish","Syngnathus scovelli",TRUE,TRUE,TRUE,275232
"61","Trinectes maculatus",-2.664354,32.5494561300813,41.888357,"hogchoker","Trinectes maculatus ",FALSE,FALSE,TRUE,159271
"62","Urosalpinx cinerea",26.829111,38.4517740235294,46.6,"oyster drill ","Urosalpinx cinerea",FALSE,FALSE,TRUE,140429
