"","species","sti","sti_2.5","sti_97.5","sti_range","northern_lat","n_kept","n_years","r"
"1","Alpheus heterochaelis",9.64090902155096,4.85250014066696,15.8424998998642,10.9899997591972,30.4941472,22,3,0.985188317433124
"2","Fundulus similis",8.09500000476837,4.9475000500679,15.8524998903275,10.9049998402596,30.6563022,60,3,0.810884854079383
"3","Pachygrapsus gracilis",14.2380952608018,6.90000009536743,22.2999992370605,15.3999991416931,29.7683088,21,3,0.810884854079383
"4","Solenosteira cancellaria",7.39047618139358,5.04999995231628,12.7000002861023,7.65000033378601,30.379361,21,3,0.810884854079383
