common_name,AphiaID,valid_name,doerr_name,species_code,2005_name,true_name,taxonomic_rank
freckled blenny,276327,Hypsoblennius ionthas,,,Hypsoblennius ionthas,Hypsoblennius ionthas,Species
pinfish ,159249,Lagodon rhomboides,L. rhomboides,LAGRHO,Lagodon rhomboides,Lagodon rhomboides,Species
sargassum shrimp,240877,Latreutes parvulus,,,Latreutes parvulus,Latreutes parvulus,Species
brown grass shrimp,107612,Leander tenuicornis,L. tenuicornis,LEATEN,Leander tenuicornis,Leander tenuicornis,Species
spot,159322,Leiostomus xanthurus,L. xanthurus,LEIXAN,Leiostomus xanthurus,Leiostomus xanthurus,Species
brown shrimp,158336,Litopenaeus setiferus,L. setiferus,PENSET,Litopenaeus setiferus,Penaeus (Litopenaeus) setiferus,Species
marsh perriwinkle,419566,Littoraria irrorata,,LITIRR,,Littoraria irrorata,Species
rainwater killifish,159310,Lucania parva,,,Lucania parva,Lucania parva,Species
,158346,Lucifer faxoni,,,Lucifer faxoni,Belzebub faxoni,Species
gray snapper,159797,Lutjanus griseus,L. griseus,LUTGRI,Lutjanus griseus,Lutjanus griseus,Species
,,Macrobrachium ohione,,,Macrobrachium ohione,API request failed,Unknown
inland silverside,159227,Menidia beryllina,M. beryllina,MENBER,Menidia beryllina,Menidia beryllina,Species
,159225,Menidia,Menidia sp.,MENSP,,Menidia,Genus
stone crab,422070,Menippe mercenaria,Menippe mercenaria/adinia,,Menippe mercenaria/adinia,Menippe mercenaria,Species
clown goby,158804,Microgobius gulosus,,,Microgobius gulosus,Microgobius gulosus,Species
green goby,158805,Microgobius thalassinus,,,Microgobius thalassinus,Microgobius thalassinus,Species
scuptured mud crab,422137,Micropanope sculptipes,,,Micropanope sculptipes,Micropanope sculptipes,Species
atlantic croaker,151158,Micropogonias undulatus,M. undulatus,MICUND,Micropogonias undulatus,Micropogonias undulatus,Species
,955256,Minuca,Uca sp.,UCASP,Uca sp.,Minuca,Genus
longwave gulf fiddler,955264,Minuca longisignalis,,MINLON,Uca longisignalis,Minuca longisignalis,Species
atlantic marsh fiddler,955270,Minuca pugnax,,,Uca pugnax,Minuca pugnax,Species
mudflat fiddler,955271,Minuca rapax,,MINRAP,Uca rapax,Minuca rapax,Minuca
flathead gray mullet,126983,Mugil cephalus,M. cephalus,MUGCEP,Mugil cephalus,Minuca rapax,Species
white mullet,159416,Mugil curema,M. curema,MUGCUR,,Mugil cephalus,Species
speckled worm-eel,158643,Myrophis punctatus,M. punctatus,MYRPUN,,Mugil curema,Species
ridged spaghetti eel,158580,Neoconger mucronatus,,,Myrophis punctatus,Myrophis punctatus,Species
False shark eye ,419761,Neverita delessertiana,,NEVDEL,Neoconger mucronatus,Neoconger mucronatus,Species
,,,,,,Neverita delessertiana,Species
,106773,Ocypodidae,Ocypodidae (megalopa),OCYSPP,,,
esturaine longeye shrimp,158368,Ogyrides alphaerostris,,,,Ocypodidae,Family
,106998,Ogyrides,,,Ogyrides alphaerostris,Ogyrides alphaerostris,Species
shrimp eel,271955,Ophichthus gomesii,,,Ogyrides sp.,Ogyrides,Genus
Opsanus beta,275645,Opsanus beta,O. beta,OPSBET,Ophichthus gomesi,Ophichthus gomesii,Species
dark shorecrab,241200,Pachygrapsus gracilis,,PACGRA,Opsanus beta,Opsanus beta,Species
,106738,Paguridae,,,,Pachygrapsus gracilis,Species
armed hermit crab,366655,Pagurus armatus,P. armatus,PETARM,Paguridae,Paguridae,Family
long wristed hermit crab,158403,Pagurus longicarpus,,PAGLON,,Pagurus armatus,Species
intermediate grass shrimp,514452,Palaemon intermedius,P. intermedius,PALINT,Pagurus longicarpus,Pagurus longicarpus,Species
daggerblade grass shrimp,932401,Palaemon pugio,P. pugio,PALPUG,Palaemonetes intermedius,Palaemon intermedius,Species
marsh grass shrimp,932406,Palaemon vulgaris,P. vulgaris,PALVUL,Palaemonetes pugio,Palaemon pugio,Species
,107034,Palaemonetes,Palaemonetes    sp.,PALSP,Palaemonetes vulgaris,Palaemon vulgaris,Species
,106765,Panopeidae,Panopeidae (crab),PANSPP,Palaemonetes sp.,Palaemon,Genus
atlantic mud crab,158436,Panopeus herbstii,P. herbstii,PANHER,Panopeidae,Panopeidae,Family
