common_name,scientific_name,2005,2016,2022,AphiaID,valid_name
brown grass shrimp,Leander tenuicornis,TRUE,TRUE,TRUE,107612,Leander tenuicornis
spot,Leiostomus xanthurus,TRUE,TRUE,TRUE,159322,Leiostomus xanthurus
gray snapper,Lutjanus griseus,TRUE,TRUE,TRUE,159797,Lutjanus griseus
Opsanus beta,Opsanus beta,TRUE,TRUE,FALSE,275645,Opsanus beta
intermediate grass shrimp,Palaemon intermedius,TRUE,TRUE,TRUE,514452,Palaemon intermedius
daggerblade grass shrimp,Palaemon pugio,TRUE,TRUE,TRUE,932401,Palaemon pugio
marsh grass shrimp,Palaemon vulgaris ,TRUE,TRUE,TRUE,932406,Palaemon vulgaris
atlantic mud crab,Panopeus herbstii,TRUE,TRUE,TRUE,158436,Panopeus herbstii
purple marsh crab,Sesarma reticulatum,TRUE,TRUE,FALSE,158458,Sesarma reticulatum
gulf pipefish,Syngnathus scovelli,TRUE,TRUE,TRUE,275232,Syngnathus scovelli
bigclaw snapping shrimp,Alpheus heterochaelis,TRUE,TRUE,TRUE,158348,Alpheus heterochaelis
bay anchovie,Anchoa mitchilli,TRUE,TRUE,TRUE,158699,Anchoa mitchilli
squareback marsh crab,Armases cinereum,TRUE,TRUE,TRUE,158049,Armases cinereum
blue crab ,Callinectes sapidus,TRUE,TRUE,TRUE,107379,Callinectes sapidus
thinstripe hermit crab,Clibanarius vittatus,TRUE,TRUE,TRUE,367528,Clibanarius vittatus
darter goby,Ctebogobius boleosoma,TRUE,TRUE,TRUE,159750,Ctenogobius boleosoma
spotted seatrout,Cynoscion nebulosus,TRUE,TRUE,TRUE,159312,Cynoscion nebulosus
sheepshead minnow,Cyprinodon variegatus,TRUE,TRUE,TRUE,159285,Cyprinodon variegatus
spotfin mojarra ,Eucinostomus argenteus,TRUE,TRUE,TRUE,159732,Eucinostomus argenteus
white shrimp,Farfantepenaeus aztecus,TRUE,TRUE,TRUE,158332,Penaeus aztecus
brown shrimp,Litopenaus setiferus ,TRUE,TRUE,TRUE,158336,Litopenaus setiferus
gulf killifish,Fundulus grandis,TRUE,TRUE,TRUE,276030,Fundulus grandis
saltmarsh topminnow,Fundulus jenkinsi,TRUE,TRUE,TRUE,276031,Fundulus jenkinsi
diamond killifish,Fundulus xenicus,TRUE,TRUE,TRUE,308885,Fundulus xenicus
highfin goby ,Gobionellus oceanicus,TRUE,TRUE,TRUE,159753,Gobionellus oceanicus
naked goby,Gobiosoma bosc,TRUE,TRUE,TRUE,159767,Gobiosoma bosc
pinfish ,Lagodon rhomboides,TRUE,TRUE,TRUE,159249,Lagodon rhomboides
white shrimp,Litopenaeus setiferus,TRUE,TRUE,TRUE,158336,Penaeus setiferus
inland silverside,Menidia beryllina,TRUE,TRUE,TRUE,159227,Menidia beryllina
atlantic croaker,Micropogonias undulatus,TRUE,TRUE,TRUE,151158,Micropogonias undulatus
flathead gray mullet,Mugil cephalus,TRUE,TRUE,TRUE,126983,Mugil cephalus
speckled worm-eel,Myrophis punctatus,TRUE,TRUE,TRUE,158643,Myrophis punctatus
blackcheek tonguefish,Symphurus plagiusa,TRUE,TRUE,TRUE,159363,Symphurus plagiusa
